codgeo;nom_commune;code_departement;population_2022;typologie_commune;score_fragilite_100;score_attractivite_100;evol_population_2016_2022_pct;niveau_vie_median_euros;part_diplomes_superieur_2022;taux_chomage_2022;part_logements_vacants_2022;emplois_lieu_travail_2022
14609;Saint-Loup-Hors;14;521;Commune résidentielle favorisée;0,00;100,00;8,32;26700;40,59;4,58;3,13;165
21347;Levernois;21;364;Commune résidentielle favorisée;0,00;100,00;13,04;32360;38,46;4,91;3,54;360
38527;Vaujany;38;352;Commune dynamique / attractive;14,29;100,00;9,32;25150;37,98;3,19;0,20;327
51623;Ville-en-Selve;51;296;Commune résidentielle favorisée;0,00;100,00;8,03;35640;55,30;3,13;0,78;85
21616;Tailly;21;200;Commune résidentielle favorisée;0,00;100,00;10,50;30060;41,10;0,89;0,00;134
11291;Plavilla;11;142;Commune résidentielle favorisée;0,00;100,00;26,79;;45,45;0,00;4,65;50
32461;Verlus;32;122;Commune résidentielle favorisée;0,00;100,00;23,23;;45,16;3,39;0,00;57
70148;Chemilly;70;103;Commune résidentielle favorisée;0,00;100,00;17,05;26420;37,18;3,92;2,08;43
65046;Aulon;65;98;Commune résidentielle favorisée;0,00;100,00;16,67;;48,68;4,88;3,60;30
48191;La Tieule;48;95;Commune résidentielle favorisée;16,67;100,00;5,56;;38,96;3,57;1,23;107
04159;Redortiers;04;89;Commune résidentielle favorisée;33,33;100,00;11,25;;35,00;5,26;1,09;28
26214;Mornans;26;78;Commune résidentielle favorisée;16,67;100,00;11,43;;32,14;0,00;3,51;29
51128;La Chapelle-sous-Orbais;51;57;Commune résidentielle favorisée;0,00;100,00;5,56;;37,14;3,45;0,00;19
27686;Vieux-Port;27;50;Commune résidentielle favorisée;33,33;100,00;8,70;;51,22;4,35;0,00;28
39003;Abergement-le-Petit;39;48;Commune résidentielle favorisée;0,00;100,00;26,32;;54,05;3,85;0,00;13
05035;Châteauneuf-d'Oze;05;30;Commune résidentielle favorisée;0,00;100,00;7,14;;37,50;0,00;2,50;27
26255;Les Prés;26;28;Commune résidentielle favorisée;16,67;100,00;21,74;;33,33;0,00;4,65;25
09133;Génat;09;24;Commune résidentielle favorisée;16,67;100,00;14,29;;34,78;0,00;3,85;18
11082;Caunette-sur-Lauquet;11;11;Commune résidentielle favorisée;16,67;100,00;175,00;;37,50;0,00;0,00;3
33281;Mérignac;33;77136;Pôle urbain / pôle d'emploi;14,29;83,33;9,70;24770;44,67;10,55;3,57;62930
33318;Pessac;33;66874;Pôle urbain / pôle d'emploi;28,57;83,33;8,11;25940;48,13;11,52;3,69;35004
64024;Anglet;64;42288;Pôle urbain / pôle d'emploi;42,86;83,33;9,38;25060;41,98;11,04;4,09;20066
33449;Saint-Médard-en-Jalles;33;32749;Pôle urbain / pôle d'emploi;0,00;83,33;5,79;26740;42,02;7,82;2,52;11304
44114;Orvault;44;28341;Pôle urbain / pôle d'emploi;0,00;83,33;9,29;27140;51,44;8,86;4,06;13164
94071;Sucy-en-Brie;94;27593;Pôle urbain / pôle d'emploi;14,29;83,33;5,00;28120;45,09;9,65;0,41;7643
