codgeo;nom_commune;code_departement;population_2022;typologie_commune;score_fragilite_100;score_attractivite_100;taux_chomage_2022;niveau_vie_median_euros;part_sans_diplome_2022;part_logements_vacants_2022;part_familles_monoparentales_2022;evol_population_2016_2022_pct;part_60_ans_plus_2022
11304;Quillan;11;2992;Commune fragile;100;16,67;19,32;18670;25,52;20,04;18,64;-9,00;47,69
97216;Le Marigot;972;2991;Commune fragile;100;0,00;23,57;17640;41,27;13,36;46,54;-8,00;37,41
52250;Joinville;52;2944;Commune fragile;100;16,67;21,16;18080;29,28;23,32;25,67;-7,30;39,44
18242;Sancoins;18;2941;Commune fragile;100;16,67;18,21;19510;39,89;17,12;17,05;-4,82;45,66
88078;Bruyères;88;2935;Commune fragile;100;16,67;19,17;19050;30,10;17,77;24,57;-4,71;37,99
72138;Fresnay-sur-Sarthe;72;2909;Commune fragile;100;16,67;13,45;20690;31,59;14,38;16,23;-3,83;38,81
24551;Thiviers;24;2888;Commune fragile;100;16,67;18,57;20060;27,32;16,46;19,00;-0,10;41,38
88181;Fraize;88;2849;Commune fragile;100;16,67;14,13;20290;32,19;12,82;16,99;-1,79;37,45
76101;Blangy-sur-Bresle;76;2844;Commune fragile;100;16,67;16,65;19680;43,77;12,44;19,49;-4,08;36,99
70467;Saint-Loup-sur-Semouse;70;2842;Commune fragile;100;16,67;19,17;17290;42,04;21,82;18,04;-12,53;39,20
97203;Basse-Pointe;972;2810;Commune fragile;100;16,67;18,36;16490;39,46;22,51;45,93;-11,94;43,56
57177;Dieuze;57;2792;Commune fragile;100;16,67;13,18;20590;29,66;13,99;21,47;-5,10;36,78
60286;Grandvilliers;60;2761;Commune fragile;100;16,67;22,56;19400;34,47;11,25;29,86;-8,03;37,09
10064;Brienne-le-Château;10;2703;Commune fragile;100;16,67;14,48;20220;33,49;11,24;23,82;-5,75;38,14
30037;Bessèges;30;2624;Commune fragile;100;16,67;27,34;16700;31,37;23,13;25,00;-7,61;48,82
89419;Toucy;89;2562;Commune fragile;100;16,67;12,95;20730;24,82;15,37;24,49;-4,72;39,58
