codgeo;nom_commune;code_departement;population_2022;typologie_commune;part_60_ans_plus_2022;part_75_ans_plus_2022;indice_vieillissement_simplifie;evol_population_2016_2022_pct;part_menages_personnes_seules_2022;part_80_plus_seuls_2022
15238;Tournemire;15;122;Commune vieillissante;66,39;25,41;1157,14;-2,40;42,65;29,17
12187;Prades-d'Aubrac;12;310;Commune vieillissante;65,81;23,55;971,43;-22,11;55,50;47,37
09020;Artigues;09;32;Commune vieillissante;65,63;12,50;;-41,82;59,09;50,00
17380;Saint-Palais-sur-Mer;17;3879;Commune vieillissante;65,58;27,74;554,25;-0,26;34,88;35,02
63221;Medeyrolles;63;116;Commune vieillissante;65,52;17,24;633,33;0,00;46,15;42,86
09193;Mijanès;09;58;Commune vieillissante;65,52;20,69;760,00;-1,69;63,16;25,00
04099;Lambruisse;04;81;Commune vieillissante;65,43;11,11;1766,67;-17,35;57,89;66,67
26147;Gumiane;26;20;Commune vieillissante;65,00;25,00;650,00;0,00;66,67;60,00
52546;Voncourt;52;17;Commune vieillissante;64,71;11,76;1100,00;0,00;0,00;
32403;Saint-Pierre-d'Aubézies;32;59;Commune vieillissante;64,41;22,03;1900,00;-16,90;41,18;12,50
09162;Lercoul;09;14;Commune vieillissante;64,29;28,57;;-44,00;70,00;
04228;Valavoire;04;39;Commune vieillissante;64,10;17,95;625,00;-7,14;21,05;50,00
32427;Sembouès;32;58;Commune vieillissante;63,79;20,69;740,00;-3,33;50,00;25,00
11127;Escouloubre;11;69;Commune vieillissante;63,77;18,84;488,89;-6,76;43,90;71,43
