codgeo;part_prestations_sociales_pct;part_minima_sociaux_pct;s_soc_ben_di_fam_ben;nombre_personnes;part_revenus_activite_pct;part_impots_directs_pct;part_indemnites_chomage_pct;s_ei_di_n_sal;nombre_unites_consommation;taux_pauvrete_60_pct;rapport_interdecile_d9_d1;part_revenus_patrimoine_autres_pct;niveau_vie_median_euros;niveau_vie_1er_decile_euros;s_soc_ben_di_hou_ben;nombre_menages;part_menages_imposes_pct;niveau_vie_9e_decile_euros;part_salaires_pct;part_pensions_retraites_rentes_pct
15087;;;;360;;;;;236,5;;;;21760;;;141;;;;
15091;;;;;;;;;;;;;;;;;;;;
15056;;;;878;;;;;574,5;;;;24060;;;339;;;;
14393;;;;376;;;;;240,1;;;;23350;;;135;;;;
14438;;;;576;;;;;365,2;;;;25240;;;204;;;;
14371;5,8;2,4;2,4;5999;68,2;-14,0;2,5;9,7;4143,9;17;2,8;6,6;20820;12030;1,0;2679;43;33440;56,0;33,4
14369;;;;260;;;;;180,7;;;;22040;;;115;;;;
14384;3,1;1,2;1,1;3339;60,7;-17,7;2,1;5,3;2416,2;9;3,0;11,6;26180;14590;0,8;1638;62;44020;53,3;42,3
14396;;;;1012;;;;;653,9;;;;26280;;;374;;;;
14461;;;;575;;;;;353,1;;;;25010;;;189;;;;
14397;;;;321;;;;;217,3;;;;23750;;;128;;;;
14159;;;;235;;;;;156,0;;;;24860;;;93;;;;
14102;;;;949;;;;;658,5;;;;25140;;;422;;;;
14091;;;;;;;;;;;;;;;;;;;;
14063;;;;217;;;;;145,9;;;;21750;;;86;;;;
14127;;;;495;;;;;327,4;;;;22940;;;198;;;;
14080;;;;126;;;;;84,8;;;;22830;;;51;;;;
14183;;;;115;;;;;79,0;;;;23000;;;52;;;;
14088;;;;399;;;;;266,7;;;;23150;;;162;;;;
14195;;;;267;;;;;173,1;;;;21890;;;103;;;;
16024;;;;550;;;;;363,6;;;;23070;;;220;;;;
15241;;;;;;;;;;;;;;;;;;;;
16026;;;;1386;;;;;948,7;;;;25860;;;589;;;;
16008;;;;329;;;;;230,6;;;;21170;;;153;;;;
16070;;;;1591;;;;;1178,7;;;;20320;;;835;;;;
16057;;;;292;;;;;200,8;;;;23500;;;126;;;;
16064;;;;1050;;;;;732,8;;;;21870;;;480;;;;
15010;;;;174;;;;;124,3;;;;20900;;;83;;;;
14698;;;;357;;;;;234,2;;;;23860;;;142;;;;
14726;6,4;2,6;2,7;5858;70,8;-12,0;2,6;7,3;3979,3;15;2,6;7,1;20830;12380;1,1;2494;43;31560;60,9;27,7
14731;;;;188;;;;;130,4;;;;25240;;;82;;;;
14728;;;;592;;;;;389,8;;;;25550;;;228;;;;
14752;5,7;2,2;2,3;2926;66,5;-12,8;2,5;4,5;2088,0;12;2,6;6,5;21880;13250;1,2;1427;45;34610;59,5;34,1
14692;;;;1786;;;;;1167,0;;;;22310;;;703;;;;
14669;;;;201;;;;;133,3;;;;23260;;;82;;;;
14741;;;;130;;;;;84,5;;;;21950;;;50;;;;
15220;;;;154;;;;;114,0;;;;23030;;;78;;;;
15147;;;;365;;;;;252,8;;;;20970;;;168;;;;
15213;;;;174;;;;;132,6;;;;16500;;;96;;;;
15219;;;;275;;;;;204,4;;;;22750;;;143;;;;
15226;;;;205;;;;;145,9;;;;21760;;;96;;;;
15185;;;;231;;;;;170,7;;;;20220;;;120;;;;
15159;;;;232;;;;;169,1;;;;20380;;;118;;;;
14287;4,1;1,1;2,6;2013;78,3;-13,5;3,0;3,4;1306,4;;2,3;4,0;23250;14610;0,4;778;56;32970;71,9;27,1
14204;;;;194;;;;;131,2;;;;22710;;;80;;;;
14239;;;;;;;;;;;;;;;;;;;;
14325;2,5;0,8;1,3;3341;70,6;-17,4;2,2;4,9;2313,2;;2,7;8,0;26180;16050;0,4;1463;68;43030;63,5;36,3
14202;;;;206;;;;;149,5;;;;28340;;;102;;;;
